Location,Longitude,Latitude,isPredictor,MAE
DH3,-158.08463,21.31236,0,0.0
DH4,-158.08505,21.313029999999998,0,0.0
DH5,-158.08424,21.313570000000002,0,0.0
DH10,-158.08553999999998,21.31183,1,0.09341001289046329
DH11,-158.0853,21.31042,1,0.0
DH9,-158.08688,21.31268,1,0.0
DH2,-158.08534,21.314510000000002,0,0.0
DH1,-158.08700000000002,21.31533,0,0.0
AP6,-158.07935,21.308120000000002,0,0.0
AP1,-158.08389,21.31276,0,0.0
AP5,-158.08248999999998,21.309829999999998,0,0.0
AP4,-158.07947,21.311410000000002,0,0.0
AP7,-158.07785,21.31478,0,0.0
DH6,-158.08678,21.31179,1,0.0
DH7,-158.08685,21.31418,0,0.0
DH8,-158.08675,21.31034,1,0.0
