Pysolar	Ineichen	Haurwitz	Solis	Haurwitz_UCM	Kasten_UCM
count	6.04158e+06	6.04158e+06	6.04158e+06	6.04158e+06	6.04158e+06	6.04158e+06
mean	0.609836	0.872554	0.771898	0.772333	0.769217	0.841759
std	0.339151	0.403347	0.34579	0.345167	0.344605	0.381679
min	0	0	0	0	0	0
25%	0.318779	0.478783	0.425978	0.426563	0.4245	0.463732
50%	0.561595	1.05537	0.933943	0.95859	0.929595	0.968941
75%	0.868854	1.17201	1.04484	1.03738	1.0416	1.15798
max	3.16413	29.1443	12.4256	12.4105	12.1471	7.92473
90%	1.10763	1.28658	1.14367	1.1355	1.14023	1.27142
99%	1.36761	1.63198	1.34406	1.34148	1.33956	1.48835
#>1	1.00042e+06	3.23175e+06	2.22801e+06	2.30818e+06	2.17252e+06	2.85379e+06
%>1	0.165589	0.534918	0.36878	0.38205	0.359595	0.472358
#CS=0	0	0	0	0	0	0
