,conv1D_lon,conv1D_lon_lat
AP1,0.07677527756362722,0.07713761244563089
AP4,0.08997451161128887,0.09218206792637922
AP5,0.06881173575054045,0.06987830819427103
AP6,0.09627352974121121,0.09602118737887645
AP7,0.09390382274769354,0.09425895865412726
DH1,0.08434321628532548,0.08415636623251266
DH10,0.07222993375382561,0.07361348319744718
DH11,0.06740844330062037,0.06698704797288646
DH2,0.08124279576367226,0.08408512286086013
DH3,0.07660733281702235,0.07629000213051187
DH4,0.07383242989147919,0.07555247670930365
DH5,0.07979051973508752,0.07819441806147064
DH6,0.07163346764186154,0.0707745360010776
DH7,0.0771407329172328,0.0782782430169375
DH8,0.06692433700181435,0.06714995106925135
DH9,0.0714338472355967,0.07154718504219815
